correct?,Character,Mandarin,Predicted Cantonese,Actual Cantonese
x,鐿,yi4,jik6,ji3
x,蹓,liu4,lau6,lau4
o,齆,weng4,ung3,ung3
o,攧,dian1,din1,din1
x,淹,yan1,jin1,jim1
x,疸,dan3,daan2,taan2
o,軿,ping2,ping4,ping4
o,坾,zhu4,cyu5,cyu5
x,噓,xu1,seoi1,heoi1
x,各,ge4,go3,gok3
x,蟋,xi1,hik1,sik1
x,婅,ju2,gaa1,guk1
o,攄,shu1,syu1,syu1
o,狵,mang2,mong4,mong4
x,炷,zhu4,cyu5,zyu3
o,栥,zi1,zi1,zi1
x,劊,gui4,kaa3,kui2
x,讉,yi2,ji4,wai4
o,偭,mian3,min5,min5
o,忂,qu2,keoi4,keoi4
x,怠,dai4,daai6,toi5
x,贛,gong4,gung2,gung3
x,婬,yin2,naa4,jam4
x,魿,ling2,ling4,leon4
x,覘,chan1,cin1,cim1
o,饢,nang2,nong4,nong4
o,椵,jia1,gaa1,gaa1
o,忮,zhi4,zi3,zi3
o,熮,liu3,lau5,lau5
x,珵,cheng2,sing4,cing4
o,癐,wei1,wai1,wai1
